id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 23:00:00FR23001_SO2_A,FR23001,1,44052,0.13,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23003_NO2_A,FR23003,3,44052,0.63,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23003_PM10_1,FR23003,24,44052,6.1,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23003_PM2.5_1,FR23003,39,44052,3.2,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23068_NO2_A,FR23068,3,44061,1.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23068_PM10_4,FR23068,24,44061,6.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23068_PM2.5_1,FR23068,39,44061,3.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23068_SO2_A,FR23068,1,44061,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23070_NO2_A,FR23070,3,44158,1.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23070_PM10_3,FR23070,24,44158,6.8,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23070_PM2.5_1,FR23070,39,44158,3.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23070_SO2_A,FR23070,1,44158,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23075_NO2_A,FR23075,3,44210,1.7,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23078_NO2_A,FR23078,3,49099,3.5,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23078_O3_A,FR23078,8,49099,59.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23078_PM10_2,FR23078,24,49099,5.9,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23078_PM2.5_2,FR23078,39,49099,0.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23110_NO2_A,FR23110,3,44184,1.1,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23110_O3_A,FR23110,8,44184,68.0,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23110_PM10_3,FR23110,24,44184,6.9,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23110_PM2.5_3,FR23110,39,44184,3.4,2026-06-10 23:00:00+00:00
2026-06-10 23:00:00FR23120_NO2_A,FR23120,3,49007,3.2,2026-06-10 23:00:00+00:00
